"movie_odid","display_name","release_odid","release_name","video_release_date","type","distributor"
"10100","Titanic","24000119","Titanic","1999-08-31","Regular","Paramount Home Video"
"20100","The Dark Knight","22350119","The Dark Knight","2008-12-09","","Warner Home Video"
"30100","Star Wars Ep. IV: A New Hope","720119","Star Wars Episode IV - A New Hope (1977 & 2004 versions)","2006-09-12","Regular","Fox Home Entertainment"
"40100","Shrek 2","8830119","Shrek 2","2004-11-05","Regular","Dreamworks Animated Video"
"50100","E.T. the Extra-Terrestrial","72480119","ET: The Extra-Terrestrial","1988-10-27","Regular","Universal Home Entertainment"
"60100","Star Wars Ep. I: The Phantom Menace","6680119","Star Wars - Episode I, The Phantom Menace","2005-03-22","Regular","Fox Home Entertainment"
"70100","Pirates of the Caribbean: Dead Man’s Chest","3390119","Pirates of the Caribbean - Dead Man's Chest","2006-12-05","","Walt Disney Home Entertainment"
"80100","Spider-Man","3450119","Spider-Man","2002-11-01","Regular","Sony Pictures Home Entertainment"
"90100","Transformers: Revenge of the Fallen","31100119","Transformers: Revenge of the Fallen","2009-10-20","Regular","Paramount Home Video"
"100100","Star Wars Ep. III: Revenge of the Sith","1090119","Star Wars - Episode III, Revenge of the Sith","2005-11-01","Regular","Fox Home Entertainment"
"110100","The Lord of the Rings: The Return of the King","3700119","Lord of the Rings, The: The Return of the King","2004-12-14","Regular","New Line Home Video"
"120100","Spider-Man 2","3420119","Spider-man 2","2004-11-30","Regular","Sony Pictures Home Entertainment"
"130100","The Passion of the Christ","5960119","The Passion of the Christ","2004-08-31","Regular","Fox Home Entertainment"
"140100","Jurassic Park","72470119","Jurassic Park","1997-09-09","Regular","Universal Home Entertainment"
"150100","The Lord of the Rings: The Two Towers","55880119","The Lord of the Rings: The Two Towers","2003-08-26","Regular","New Line Home Video"
"160100","Finding Nemo","9620119","Finding Nemo","2003-11-04","Regular","Walt Disney Home Entertainment"
"170100","Spider-Man 3","11120119","Spider-Man 3","2007-10-30","","Sony Pictures Home Entertainment"
"180100","Forrest Gump","28930119","Forrest Gump","2001-08-28","Regular","Paramount Home Video"
"190100","The Lion King","58870119","The Lion King","1995-03-03","","Walt Disney Home Entertainment"
"200100","Shrek the Third","11170119","Shrek the Third","2007-11-13","","Paramount Home Video"
"210100","Transformers","10750119","Transformers","2007-10-16","","Paramount Home Video"
"220100","Iron Man","21650119","Iron Man","2008-09-30","Regular","Paramount Home Video"
"230100","Harry Potter and the Sorcerer’s Stone","1760119","Harry Potter and the Sorcerer’s Stone","2002-05-28","Regular","Warner Home Video"
"240100","Indiana Jones and the Kingdom of the Crystal Skull","22450119","Indiana Jones and the Kingdom of the Crystal Skull","2008-10-14","Regular","Paramount Home Video"
"250100","The Lord of the Rings: The Fellowship of the Ring","32430119","The Lord of the Rings: The Fellowship of the Ring","2002-08-06","","New Line Home Video"
"260100","Star Wars Ep. II: Attack of the Clones","6810119","Star Wars - Episode II, Attack of the Clones","2005-03-22","Regular","Fox Home Entertainment"
"270100","Pirates of the Caribbean: At World’s End","9880119","Pirates of the Caribbean - At World's End","2007-12-04","","Walt Disney Home Entertainment"
"280100","Star Wars Ep. VI: Return of the Jedi","740119","Star Wars Episode VI - Return of the Jedi (1983 & 2004 versions)","2006-09-12","Regular","Fox Home Entertainment"
"300100","Pirates of the Caribbean: The Curse of the Black Pearl","1170119","Pirates of the Caribbean: The Curse of the Black Pearl","2003-12-02","","Walt Disney Home Entertainment"
"310100","Harry Potter and the Half-Blood Prince","31160119","Harry Potter and the Half-Blood Prince","2009-12-08","","Warner Home Video"
"320100","The Sixth Sense","22620119","Sixth Sense, The","2000-03-28","","Walt Disney Home Entertainment"
